emp_no,salary
21079,40000
21080,64932
21081,69230
21082,40000
21083,55494
21084,40000
21085,40000
21086,40000
21087,95894
21088,48629
21089,40000
21090,40000
21091,45148
21092,40000
21093,65521
21094,40000
21095,40000
21096,40000
21097,60447
21098,41171
21099,40825
21100,46884
21101,40000
21102,59030
21103,40000
21104,40000
21105,40000
21106,61494
21107,53822
21108,57776
21109,56522
21110,88140
21111,40000
21112,40000
21113,67262
21114,63064
21115,60275
21116,57099
21117,54700
21118,53656
21119,40000
21120,64379
21121,57685
21122,71633
21123,40000
21124,56683
21125,42718
21126,40000
21127,65549
21128,70065
21129,40000
21130,40000
21131,59989
21132,90904
21133,80323
21134,41626
21135,93668
21136,46388
21137,81808
21138,60656
21139,61372
21140,40000
21141,51317
21142,66739
21143,82365
21144,65071
21145,46378
21146,43057
21147,40738
21148,40000
21149,57530
21150,54600
21151,45518
21152,54032
21153,40000
21154,63228
21155,40000
21156,40000
21157,40000
21158,51183
21159,42585
21160,63061
21161,40000
21162,62604
21163,54815
21164,65671
21165,57958
21166,50411
21167,45269
21168,40000
21169,54801
21170,40000
21171,43859
21172,46408
21173,40000
21174,54996
21175,52017
21176,40000
21177,53226
21178,40000
21179,66702
21180,78620
21181,60114
21182,46832
21183,40000
21184,40000
21185,40000
21186,41269
21187,40000
21188,40000
21189,54336
21190,45555
21191,52921
21192,40000
21193,41830
21194,40000
21195,71702
21196,40000
21197,40000
21198,52984
21199,40000
21200,44304
21201,40000
21202,40000
21203,43721
21204,46115
21205,50782
21206,65765
21207,40000
21208,84472
21209,83029
21210,40000
21211,55407
21212,48846
21213,40000
21214,56646
21215,43303
21216,54953
21217,59876
21218,42287
21219,49432
21220,61162
21221,40000
21222,40000
21223,40000
21224,40000
21225,46119
21226,40000
21227,40000
21228,40000
21229,40000
21230,73297
21231,40000
21232,63367
21233,58678
21234,63096
21235,40000
21236,79429
21237,68882
21238,67612
21239,49269
21240,103256
21241,57811
21242,70622
21243,40000
21244,67334
21245,40000
21246,40000
21247,45353
21248,62320
21249,75492
21250,40000
21251,55174
21252,55360
21253,50553
21254,61368
21255,40000
21256,47451
21257,70559
21258,40000
21259,68910
21260,52668
21261,62782
21262,51723
21263,40000
21264,40000
21265,55226
21266,54565
21267,40000
21268,56488
21269,54814
21270,62519
21271,40000
21272,40000
21273,49589
21274,64601
21275,40000
21276,40000
21277,55403
21278,69840
21279,70525
21280,53465
21281,59353
21282,40000
21283,82496
21284,56445
21285,72337
21286,40000
21287,47272
21288,40000
21289,40000
21290,93430
21291,40000
21292,51877
21293,47611
21294,61182
21295,46480
21296,57283
21297,69830
21298,40000
21299,40000
21300,40000
21301,48906
21302,44770
21303,40000
21304,81554
21305,49925
21306,42112
21307,64973
21308,40000
21309,48931
21310,51467
21311,87284
21312,43128
21313,40000
21314,64636
21315,48851
21316,40000
21317,64694
21318,43792
21319,70150
21320,73474
21321,58022
21322,68678
21323,42441
21324,40000
21325,72711
21326,65649
21327,75767
21328,40000
21329,53308
21330,62167
21331,71173
21332,62905
21333,40499
21334,46060
21335,56810
21336,40000
21337,40000
21338,50187
21339,49239
21340,40000
21341,64053
21342,40000
21343,42329
21344,84814
21345,40000
21346,70946
21347,73742
21348,40000
21349,68716
21350,46450
21351,51120
21352,68217
21353,40000
21354,55841
21355,40000
21356,41637
21357,40000
21358,40000
21359,81178
21360,42405
21361,84832
21362,81631
21363,52656
21364,40000
21365,46387
21366,45350
21367,50965
21368,40000
21369,44115
21370,40000
21371,40000
21372,52698
21373,56985
21374,47544
21375,40000
21376,40000
21377,40000
21378,50731
21379,71885
21380,55059
21381,51965
21382,55954
21383,40000
21384,62592
21385,75925
21386,53164
21387,49448
21388,67374
21389,51938
21390,40000
21391,58700
21392,42121
21393,40000
21394,43782
21395,52044
21396,59553
21397,44737
21398,40000
21399,42619
21400,59995
21401,78114
21402,40000
21403,55210
21404,64473
21405,49982
21406,51724
21407,47705
21408,52569
21409,63099
21410,41891
21411,40000
21412,55407
21413,102879
21414,40000
21415,83118
21416,59636
21417,40000
21418,68732
21419,40000
21420,67170
21421,58531
21422,40000
21423,45263
21424,69482
21425,59966
21426,40000
21427,52800
21428,62653
21429,56729
21430,40000
21431,51492
21432,45799
21433,81265
21434,48162
21435,40000
21436,53747
21437,71581
21438,43726
21439,69181
21440,40000
21441,40000
21442,40000
21443,64031
21444,40000
21445,67080
21446,40000
21447,40000
21448,40342
21449,40000
21450,88320
21451,40000
21452,93049
21453,61021
21454,40000
21455,65363
21456,44856
21457,40000
21458,40000
21459,51674
21460,59551
21461,52464
21462,98485
21463,40000
21464,71018
21465,85331
21466,41863
21467,40000
21468,40000
21469,40000
21470,45639
21471,40000
21472,50307
21473,69450
21474,59355
21475,40000
21476,67728
21477,42725
21478,49092
21479,42045
21480,40000
21481,65311
21482,51394
21483,51052
21484,66468
21485,43066
21486,69090
21487,40000
21488,40000
21489,43146
21490,40000
21491,54628
21492,40000
21493,68433
21494,40000
21495,40000
21496,64273
21497,56316
21498,40000
21499,41086
21500,40000
21501,60064
21502,57834
21503,68443
21504,40000
21505,40000
21506,40000
21507,40000
21508,81015
21509,70233
21510,40000
21511,40000
21512,52336
21513,90473
21514,59316
21515,40000
21516,51455
21517,53627
21518,54437
21519,44739
21520,45151
21521,40707
21522,41810
21523,40000
21524,63972
21525,54273
21526,40000
21527,40000
21528,40000
21529,40000
21530,40000
21531,75317
21532,56580
21533,87993
21534,40000
21535,74372
21536,71848
21537,90832
21538,69859
21539,55129
21540,54628
21541,40000
21542,56185
21543,40000
21544,40000
21545,40000
21546,75391
21547,40000
21548,49951
21549,53786
21550,66773
21551,42075
21552,68623
21553,41706
21554,59323
21555,40000
21556,40000
21557,75628
21558,62828
21559,53817
21560,66010
21561,64318
21562,54641
21563,72404
21564,52333
21565,41502
21566,61752
21567,40000
21568,71058
21569,40000
21570,40000
21571,61750
21572,44524
21573,45371
21574,49277
21575,73752
21576,75684
21577,48860
21578,80158
21579,49047
21580,53897
21581,40000
21582,40000
21583,44042
21584,40557
21585,61381
21586,40000
21587,109787
21588,55000
21589,40000
21590,60583
21591,69704
21592,40116
21593,40000
21594,76425
21595,52738
21596,40000
21597,40000
21598,64262
21599,40000
21600,40000
21601,53320
21602,52356
21603,40000
21604,55948
21605,40000
21606,85359
21607,50150
21608,40000
21609,80510
21610,81589
21611,72140
21612,82560
21613,40000
21614,54535
21615,79062
21616,50745
21617,40419
21618,40000
21619,40000
21620,40000
21621,40000
21622,40000
21623,40000
21624,90794
21625,40000
21626,43714
21627,69393
21628,65013
21629,68162
21630,40000
21631,40000
21632,59812
21633,43114
21634,61982
21635,54518
21636,48121
21637,71478
21638,68891
21639,44814
21640,40466
21641,40000
21642,49874
21643,40210
21644,44426
21645,59959
21646,41370
21647,71234
21648,42629
21649,57825
21650,65558
21651,40000
21652,40000
21653,51018
21654,50497
21655,40000
21656,40000
21657,56966
21658,40000
21659,71382
21660,40000
21661,58282
21662,40000
21663,40000
21664,52630
21665,63418
21666,68269
21667,40000
21668,40000
21669,66001
21670,49610
21671,81281
21672,40994
21673,70972
21674,44125
21675,40000
21676,72915
21677,40000
21678,49095
21679,40000
21680,55499
21681,81141
21682,77876
21683,51350
21684,53431
21685,45490
21686,55890
21687,62795
21688,58337
21689,40000
21690,46229
21691,40000
21692,57798
21693,87515
21694,41630
21695,40000
21696,49342
21697,78956
21698,40481
21699,40000
21700,49213
21701,61579
21702,74773
21703,40000
21704,40000
21705,51814
21706,40000
21707,40000
21708,40000
21709,42291
21710,73550
21711,71603
21712,82840
21713,40208
21714,40000
21715,48853
21716,68923
21717,40000
21718,55562
21719,40000
21720,53213
21721,63332
21722,42561
21723,49702
21724,71562
21725,47368
21726,40000
21727,52502
21728,53894
21729,77148
21730,69353
21731,91522
21732,53102
21733,40000
21734,40000
21735,64718
21736,48090
21737,58144
21738,40000
21739,48927
21740,40000
21741,40000
21742,66250
21743,40000
21744,46634
21745,40000
21746,60797
21747,51764
21748,45463
21749,40000
21750,41094
21751,40000
21752,56225
21753,40000
21754,42362
21755,40000
21756,54746
21757,48374
21758,81328
21759,40976
21760,75927
21761,60197
21762,93029
21763,77399
21764,47603
21765,59010
21766,53445
21767,40000
21768,40000
21769,69224
21770,61421
21771,49649
21772,68296
21773,40000
21774,46875
21775,47365
21776,57208
21777,57701
21778,40000
21779,60927
21780,40000
21781,67782
21782,43612
21783,64772
21784,52601
21785,40000
21786,68244
21787,74627
21788,40000
21789,68385
21790,55850
21791,46686
21792,40000
21793,40000
21794,64787
21795,69058
21796,52342
21797,40000
21798,40000
21799,40000
21800,58192
21801,54288
21802,44126
21803,40000
21804,60342
21805,44941
21806,49240
21807,40000
21808,40610
21809,45986
21810,65987
21811,48816
21812,40000
21813,48526
21814,40000
21815,44866
21816,40000
21817,81907
21818,72957
21819,40000
21820,81547
21821,45286
21822,53201
21823,46977
21824,40000
21825,40000
21826,63670
21827,71720
21828,59996
21829,60650
21830,40000
21831,87705
21832,64710
21833,54746
21834,101982
21835,48163
21836,40000
21837,49789
21838,60590
21839,63105
21840,40000
21841,40900
21842,46450
21843,52216
21844,50924
21845,40529
21846,52743
21847,40000
21848,42767
21849,52856
21850,40000
21851,68104
21852,40000
21853,46982
21854,58639
21855,64014
21856,59982
21857,56189
21858,66639
21859,71833
21860,63613
21861,40000
21862,41302
21863,87045
21864,45626
21865,72039
21866,62179
21867,40000
21868,40000
21869,71624
21870,46218
21871,43249
21872,53929
21873,66476
21874,65053
21875,64337
21876,40000
21877,75382
21878,61664
21879,77912
21880,95664
21881,56216
21882,40000
21883,71596
21884,40000
21885,43576
21886,40000
21887,40000
21888,61279
21889,40000
21890,48659
21891,40000
21892,44950
21893,40000
21894,54884
21895,45654
21896,40000
21897,85262
21898,80542
21899,82703
21900,48085
21901,40468
21902,49389
21903,57617
21904,40000
21905,40000
21906,56560
21907,63457
21908,52324
21909,60302
21910,83115
21911,58420
21912,56856
21913,40000
21914,40000
21915,40000
21916,40000
21917,40000
21918,40000
21919,59440
21920,56825
21921,43100
21922,40000
21923,46834
21924,60832
21925,40000
21926,73514
21927,40987
21928,40000
21929,40000
21930,78714
21931,55124
21932,51378
21933,40000
21934,68574
21935,73901
21936,72396
21937,77236
21938,40000
21939,53794
21940,42098
21941,58158
21942,40000
21943,62419
21944,40000
21945,43906
21946,40000
21947,48681
21948,40000
21949,46141
21950,40000
21951,77304
21952,72165
21953,88127
21954,56010
21955,51819
21956,53738
21957,81854
21958,62316
21959,40000
21960,57595
21961,60065
21962,82585
21963,97571
21964,49965
21965,58275
21966,76196
21967,40000
21968,81490
21969,81970
21970,87308
21971,47760
21972,61981
21973,40000
21974,41842
21975,53948
21976,56844
21977,40000
21978,40000
21979,74184
21980,53209
21981,82026
21982,52213
21983,60097
21984,40000
21985,40000
21986,40000
21987,56799
21988,58870
21989,40000
21990,40000
21991,40000
21992,52037
21993,40000
21994,53931
21995,40000
21996,42874
21997,42724
21998,40000
21999,40000
22000,73265
22001,51077
22002,83136
22003,81644
22004,58775
22005,40000
22006,40000
22007,40000
22008,52459
22009,66014
22010,59486
22011,40000
22012,42886
22013,49837
22014,43055
22015,40000
22016,41637
22017,61183
22018,47771
22019,42574
22020,40000
22021,40000
22022,40000
22023,46984
22024,41467
22025,60814
22026,40000
22027,68981
22028,53583
22029,81168
22030,57100
22031,44211
22032,58814
22033,40000
22034,55407
22035,41160
22036,40000
22037,40000
22038,58027
22039,51593
22040,40000
22041,73782
22042,50574
22043,64843
22044,50628
22045,40000
22046,57324
22047,40000
22048,45641
22049,62005
22050,60224
22051,74356
22052,68579
22053,40000
22054,40000
22055,40000
22056,43729
22057,40000
22058,40000
22059,64930
22060,52563
22061,65445
22062,40000
22063,40000
22064,40000
22065,56006
22066,40000
22067,49376
22068,40000
22069,74723
22070,40000
22071,62918
22072,51418
22073,40000
22074,53863
22075,40000
22076,88573
22077,66913
22078,40000
22079,40000
22080,46345
22081,41698
22082,40000
22083,64250
22084,53904
22085,50618
22086,78498
22087,41348
22088,45202
22089,40000
22090,40000
22091,40000
22092,43505
22093,69032
22094,76245
22095,50512
22096,96620
22097,40000
22098,42333
22099,63518
22100,85569
22101,40000
22102,51629
22103,40000
22104,40000
22105,40000
22106,40000
22107,63841
22108,49900
22109,54515
22110,61136
22111,66782
22112,51291
22113,40000
22114,68789
22115,77536
22116,60028
22117,84621
22118,40000
22119,91106
22120,62420
22121,40000
22122,51702
22123,55057
22124,71853
22125,40000
22126,53179
22127,89001
22128,40000
22129,61403
22130,64354
22131,67760
22132,44479
22133,40000
22134,64456
22135,48289
22136,69488
22137,72025
22138,40000
22139,42700
22140,62443
22141,40000
22142,40000
22143,47022
22144,63074
22145,60786
22146,40000
22147,73536
22148,40000
22149,40000
22150,67163
22151,40000
22152,52641
22153,40000
22154,54435
22155,41313
22156,58428
22157,40000
22158,40000
22159,75032
22160,40000
22161,79688
22162,40000
22163,40000
22164,54934
22165,63349
22166,42009
22167,53151
22168,40000
22169,40000
22170,42396
22171,40000
22172,68968
22173,40000
22174,40000
22175,40000
22176,45722
22177,40000
22178,40000
22179,71161
22180,43450
22181,40000
22182,59410
22183,65345
22184,68433
22185,40000
22186,81869
22187,40000
22188,54658
22189,50392
22190,58561
22191,53415
22192,46250
22193,53631
22194,46592
22195,46654
22196,40000
22197,52660
22198,60666
22199,45320
22200,69494
22201,40000
22202,40000
22203,40000
22204,84634
22205,53244
22206,40000
22207,48768
22208,59059
22209,40000
22210,63788
22211,59200
22212,54336
22213,44462
22214,40000
22215,57957
22216,64616
22217,51567
22218,40000
22219,66276
22220,73018
22221,40000
22222,40000
22223,60445
22224,61487
22225,71996
22226,43408
22227,43195
22228,43889
22229,79761
22230,47232
22231,40000
22232,40000
22233,47259
22234,56671
22235,51778
22236,43721
22237,41765
22238,40000
22239,40000
22240,92619
22241,40000
22242,47762
22243,70205
22244,40000
22245,46316
22246,46604
22247,60863
22248,54380
22249,66445
22250,40000
22251,52747
22252,43515
22253,85302
22254,40000
22255,43442
22256,40000
22257,58736
22258,40000
22259,77634
22260,47644
22261,45771
22262,63656
22263,58364
22264,59479
22265,40000
22266,76045
22267,40000
22268,45478
22269,40000
22270,40000
22271,40000
22272,56648
22273,54059
22274,60107
22275,67536
22276,50602
22277,64457
22278,70178
22279,77912
22280,44175
22281,40000
22282,60024
22283,61620
22284,54303
22285,50094
22286,86934
22287,72658
22288,40000
22289,51023
22290,40000
22291,92215
22292,40000
22293,40000
22294,56354
22295,69406
22296,49212
22297,42362
22298,52139
22299,61407
22300,63017
22301,62889
22302,47002
22303,51855
22304,54667
22305,68290
22306,71090
22307,40000
22308,55847
22309,62189
22310,44049
22311,40000
22312,73674
22313,48730
22314,57767
22315,70532
22316,42882
22317,63239
22318,42906
22319,51321
22320,40000
22321,51795
22322,40000
22323,67156
22324,62725
22325,44813
22326,74850
22327,49765
22328,57438
22329,40000
22330,88154
22331,40000
22332,40000
22333,41624
22334,45602
22335,59393
22336,40000
22337,40000
22338,93719
22339,81135
22340,41676
22341,40000
22342,40000
22343,65029
22344,49571
22345,71956
22346,40000
22347,85890
22348,72427
22349,47307
22350,75737
22351,40000
22352,49765
22353,40496
22354,53975
22355,69530
22356,40000
22357,40000
22358,67778
22359,45881
22360,80000
22361,40000
22362,59967
22363,40000
22364,78414
22365,63822
22366,42310
22367,40329
22368,40000
22369,61188
22370,76113
22371,53109
22372,43809
22373,40000
22374,76757
22375,47344
22376,71842
22377,75473
22378,63127
22379,40000
22380,40000
22381,77651
22382,65504
22383,58703
22384,66590
22385,57465
22386,40000
22387,40000
22388,59343
22389,72544
22390,66505
22391,40000
22392,63334
22393,71888
22394,45938
22395,40000
22396,40000
22397,69568
22398,93837
22399,40316
22400,57003
22401,46915
22402,40000
22403,50582
22404,40000
22405,56020
22406,84957
22407,101165
22408,49978
22409,74847
22410,40000
22411,66743
22412,75013
22413,42233
22414,56397
22415,69277
22416,40000
22417,40358
22418,40000
22419,44272
22420,40000
22421,40000
22422,59462
22423,41257
22424,47921
22425,40000
22426,40000
22427,46305
22428,58637
22429,41561
22430,52279
22431,40000
22432,76591
22433,48264
22434,47914
22435,64898
22436,63415
22437,41444
22438,67750
22439,46676
22440,40000
22441,64361
22442,62788
22443,51204
22444,76989
22445,54054
22446,50205
22447,60987
22448,59895
22449,68820
22450,40000
22451,40000
22452,40000
22453,40000
22454,40000
22455,69644
22456,47868
22457,68759
22458,72314
22459,81555
22460,63051
22461,40000
22462,40000
22463,65491
22464,71869
22465,75546
22466,42564
22467,40000
22468,55054
22469,40075
22470,45090
22471,52701
22472,64459
22473,49851
22474,50055
22475,45003
22476,40000
22477,44124
22478,40000
22479,40000
22480,78893
22481,40000
22482,40000
22483,56135
22484,67055
22485,40000
22486,40000
22487,54667
22488,48560
22489,73198
22490,50994
22491,40000
22492,79198
22493,40000
22494,52675
22495,44193
22496,44922
22497,40000
22498,73184
22499,76080
22500,53954
22501,55239
22502,57324
22503,55517
22504,53948
22505,40000
22506,70332
22507,41529
22508,45862
22509,61470
22510,40000
22511,40000
22512,74340
22513,40536
22514,55739
22515,40666
22516,54043
22517,40000
22518,40000
22519,40000
22520,45814
22521,50008
22522,53642
22523,40000
22524,45659
22525,40000
22526,40000
22527,49863
22528,40000
22529,45654
22530,80189
22531,65155
22532,54750
22533,40000
22534,75003
22535,60182
22536,40000
22537,40000
22538,48354
22539,48650
22540,53066
22541,40000
22542,40000
22543,72853
22544,50126
22545,53035
22546,40000
22547,40000
22548,53616
22549,52206
22550,64120
22551,63950
22552,45249
22553,40000
22554,48595
22555,41694
22556,67390
22557,82178
22558,40000
22559,69454
22560,47222
22561,69661
22562,40000
22563,60608
22564,100278
22565,40000
22566,40000
22567,52020
22568,49960
22569,74934
22570,64089
22571,85992
22572,68344
22573,56836
22574,62146
22575,44921
22576,40000
22577,86493
22578,56570
22579,40000
22580,43524
22581,53196
22582,40000
22583,44350
22584,40000
22585,40143
22586,70786
22587,51761
22588,52750
22589,42520
22590,83493
22591,56913
22592,40000
22593,52423
22594,45997
22595,40000
22596,47430
22597,50475
22598,45061
22599,52873
22600,40000
22601,56272
22602,50922
22603,50608
22604,65481
22605,46132
22606,40000
22607,93743
22608,45417
22609,66371
22610,50356
22611,66736
22612,40000
22613,86477
22614,48477
22615,40000
22616,40000
22617,40000
22618,73504
22619,40000
22620,62623
22621,47983
22622,40000
22623,46491
22624,64652
22625,40000
22626,50025
22627,73614
22628,73962
22629,56674
22630,54841
22631,69111
22632,68876
22633,65226
22634,42442
22635,40000
22636,40000
22637,46312
22638,68821
22639,57002
22640,54359
22641,40000
22642,64014
22643,44792
22644,46243
22645,40000
22646,40000
22647,49891
22648,47655
22649,40376
22650,92035
22651,41904
22652,40000
22653,49377
22654,73170
22655,40000
22656,60522
22657,70734
22658,40000
22659,59941
22660,40000
22661,117303
22662,40000
22663,64475
22664,40000
22665,44807
22666,40000
22667,53768
22668,52354
22669,40000
22670,49369
22671,54109
22672,40000
22673,81003
22674,40000
22675,40000
22676,40000
22677,74780
22678,40000
22679,40000
22680,58627
22681,50543
22682,40000
22683,40000
22684,40000
22685,40000
22686,43350
22687,45048
22688,43606
22689,40000
22690,41846
22691,62992
22692,69531
22693,75385
22694,42321
22695,52725
22696,48385
22697,40000
22698,42395
22699,44948
22700,40000
22701,72365
22702,40000
22703,98691
22704,47431
22705,56787
22706,40000
22707,62982
22708,40000
22709,42555
22710,50120
22711,57144
22712,82681
22713,40000
22714,40000
22715,68366
22716,64602
22717,75496
22718,40000
22719,62977
22720,52448
22721,72573
22722,40000
22723,40000
22724,52580
22725,59279
22726,67607
22727,103556
22728,99580
22729,40000
22730,51123
22731,40000
22732,52959
22733,56901
22734,40000
22735,42702
22736,40000
22737,94679
22738,54888
22739,40000
22740,49686
22741,49704
22742,43766
22743,40000
22744,51822
22745,40000
22746,74510
22747,40000
22748,59870
22749,53701
22750,68865
22751,42354
22752,64309
22753,40000
22754,40000
22755,63264
22756,74744
22757,45253
22758,59665
22759,64096
22760,55751
22761,49308
22762,48955
22763,43523
22764,40000
22765,68013
22766,40000
22767,71320
22768,45205
22769,56079
22770,75136
22771,40000
22772,46367
22773,65893
22774,40000
22775,40000
22776,54775
22777,40000
22778,45799
22779,40000
22780,40000
22781,69020
22782,40000
22783,83582
22784,44597
22785,45030
22786,105882
22787,73873
22788,40000
22789,65401
22790,40000
22791,40000
22792,40157
22793,53630
22794,40000
22795,67599
22796,43731
22797,45371
22798,55980
22799,67213
22800,56668
22801,40000
22802,40000
22803,43622
22804,48881
22805,60322
22806,40000
22807,101337
22808,55893
22809,40000
22810,49175
22811,40000
22812,53399
22813,45542
22814,40000
22815,82112
22816,40000
22817,40000
22818,45957
22819,60430
22820,43423
22821,40325
22822,40000
22823,40000
22824,76736
22825,69437
22826,40000
22827,47192
22828,40000
22829,60331
22830,40000
22831,52273
22832,48211
22833,51912
22834,54835
22835,52762
22836,40000
22837,40000
22838,40000
22839,40000
22840,91566
22841,40000
22842,46158
22843,71220
22844,40000
22845,58769
22846,49593
22847,40000
22848,48539
22849,59451
22850,71258
22851,42427
22852,75231
22853,68906
22854,41649
22855,46111
22856,40000
22857,40240
22858,47038
22859,49942
22860,70362
22861,56524
22862,40000
22863,57027
22864,51198
22865,73038
22866,62162
22867,74949
22868,66727
22869,49135
22870,40000
22871,68081
22872,67699
22873,59298
22874,45824
22875,55331
22876,56481
22877,40000
22878,46933
22879,47761
22880,40000
22881,40000
22882,77154
22883,60005
22884,44395
22885,40000
22886,40000
22887,74536
22888,40000
22889,40000
22890,44426
22891,50824
22892,75843
22893,50589
22894,76090
22895,40000
22896,40000
22897,40000
22898,40000
22899,40000
22900,62819
22901,40490
22902,40000
22903,40119
22904,40000
22905,74995
22906,43605
22907,45668
22908,40000
22909,56258
22910,72381
22911,40000
22912,40000
22913,40000
22914,66672
22915,40000
22916,45958
22917,47460
22918,54179
22919,40000
22920,40000
22921,40797
22922,74043
22923,43991
22924,53978
22925,46148
22926,56184
22927,40000
22928,40000
22929,48747
22930,67634
22931,56537
22932,84386
22933,63584
22934,91442
22935,40000
22936,63779
22937,40000
22938,40000
22939,40000
22940,40000
22941,61154
22942,48382
22943,62556
22944,40000
22945,54122
22946,40000
22947,61316
22948,40000
22949,63212
22950,40000
22951,42669
22952,87124
22953,43331
22954,40000
22955,57080
22956,55371
22957,61215
22958,61430
22959,40000
22960,40000
22961,44463
22962,40000
22963,78323
22964,44023
22965,40000
22966,50108
22967,40000
22968,65637
22969,47544
22970,40000
22971,49344
22972,68730
22973,54251
22974,45063
22975,44197
22976,70831
22977,49862
22978,47420
22979,49732
22980,40000
22981,51131
22982,40595
22983,54062
22984,40000
22985,63562
22986,40000
22987,40708
22988,40000
22989,40000
22990,41339
22991,40000
22992,40795
22993,44931
22994,59774
22995,57931
22996,45763
22997,50160
22998,40000
22999,65582
23000,40000
23001,52018
23002,48399
23003,43154
23004,53352
23005,82666
23006,40000
23007,63693
23008,76029
23009,44097
23010,74205
23011,50445
23012,40431
23013,48742
23014,44525
23015,75888
23016,81929
23017,65647
23018,54738
23019,40000
23020,40000
23021,40000
23022,40000
23023,40000
23024,52347
23025,40000
23026,52693
23027,40000
23028,63497
23029,48430
23030,88762
23031,40000
23032,44276
23033,68149
23034,40000
23035,40000
23036,40000
23037,52165
23038,41104
23039,56610
23040,81708
23041,40000
23042,44455
23043,43897
23044,45900
23045,49830
23046,57272
23047,40000
23048,40000
23049,40000
23050,48684
23051,40000
23052,68964
23053,40000
23054,44444
23055,40000
23056,63777
23057,57188
23058,40000
23059,40000
23060,46008
23061,40000
23062,46427
23063,52527
23064,47003
23065,40000
23066,51798
23067,46605
23068,40000
23069,40000
23070,78050
23071,55599
23072,40000
23073,40000
23074,76124
23075,59564
23076,67001
23077,40000
23078,40000
23079,51224
23080,40000
23081,66419
23082,60259
23083,40000
23084,51278
23085,83971
23086,40000
23087,75082
23088,53128
23089,93452
23090,40000
23091,68962
23092,40000
23093,94962
23094,71212
23095,56231
23096,40534
23097,55384
23098,65524
23099,67371
23100,46599
23101,65548
23102,43032
23103,49215
23104,40000
23105,40000
23106,40000
23107,59720
23108,40000
23109,42124
23110,60446
23111,45250
23112,52579
23113,59457
23114,82330
23115,55571
23116,66406
23117,49811
23118,87947
23119,52289
23120,52198
23121,59119
23122,84082
23123,40770
23124,84218
23125,57010
23126,40000
23127,40000
23128,66325
23129,57955
23130,40000
23131,40000
23132,44134
23133,40000
23134,40000
23135,59272
23136,56024
23137,52552
23138,40000
23139,43272
23140,40000
23141,40000
23142,40000
23143,40000
23144,40000
23145,40000
23146,42203
23147,40000
23148,44902
23149,40000
23150,69212
23151,91783
23152,79496
23153,51059
23154,40000
23155,40938
23156,58707
23157,40000
23158,40000
23159,40435
23160,71899
23161,40826
23162,62575
23163,53984
23164,40000
23165,75237
23166,57248
23167,40000
23168,44486
23169,78790
23170,40000
23171,40000
23172,44565
23173,57346
23174,40000
23175,58754
23176,78657
23177,60736
23178,40000
23179,62510
23180,49791
23181,40000
23182,54087
23183,56069
23184,40000
23185,59378
23186,40000
23187,64069
23188,40000
23189,107306
23190,40000
23191,86886
23192,40000
23193,58502
23194,40000
23195,47070
23196,65710
23197,40000
23198,72375
23199,40000
23200,40000
23201,45781
23202,43823
23203,40000
23204,40000
23205,45027
23206,45787
23207,40000
23208,73846
23209,54001
23210,51184
23211,40000
23212,62788
23213,40000
23214,40000
23215,40000
23216,41986
23217,52794
23218,40000
23219,54657
23220,40000
23221,58631
23222,40000
23223,51979
23224,50328
23225,55906
23226,41316
23227,50664
23228,42686
23229,40000
23230,40000
23231,44978
23232,47420
23233,65688
23234,74253
23235,60495
23236,51500
23237,40000
23238,44014
23239,40000
23240,62721
23241,48726
23242,65197
23243,40000
23244,42721
23245,40000
23246,61942
23247,43691
23248,40000
23249,72783
23250,40288
23251,44566
23252,64713
23253,41571
23254,40000
23255,78287
23256,45651
23257,52060
23258,40000
23259,62270
23260,109690
23261,79806
23262,40000
23263,40000
23264,40000
23265,40000
23266,48364
23267,40000
23268,63159
23269,49962
23270,77023
23271,46403
23272,42939
23273,69525
23274,58176
23275,40000
23276,48257
23277,40000
23278,50229
23279,95216
23280,69818
23281,58939
23282,54785
23283,63618
23284,51007
23285,65021
23286,79613
23287,52946
23288,46063
23289,40000
23290,62875
23291,41773
23292,40000
23293,103436
23294,89665
23295,41110
23296,62062
23297,70944
23298,80107
23299,47905
23300,60044
23301,64263
23302,40000
23303,66277
23304,40000
23305,42282
23306,47240
23307,40000
23308,67100
23309,64851
23310,40000
23311,40468
23312,59918
23313,55834
23314,81622
23315,40000
23316,59118
23317,40000
23318,40000
23319,95085
23320,62369
23321,41889
23322,40000
23323,48952
23324,46445
23325,78903
23326,40000
23327,43162
23328,90121
23329,57660
23330,61255
23331,55825
23332,40000
23333,40000
23334,47874
23335,40000
23336,52996
23337,74299
23338,63891
23339,40000
23340,40000
23341,40000
23342,40000
23343,40000
23344,56007
23345,44419
23346,40000
23347,71668
23348,63472
23349,40000
23350,40000
23351,40000
23352,55910
23353,40000
23354,45655
23355,52020
23356,40000
23357,47927
23358,43958
23359,40000
23360,45930
23361,40000
23362,47408
23363,47315
23364,40000
23365,41833
23366,50225
23367,85611
23368,59029
23369,61057
23370,45506
23371,40000
23372,40000
23373,59405
23374,40000
23375,56416
23376,80813
23377,48094
23378,42162
23379,68068
23380,60757
23381,61024
23382,40000
23383,49313
23384,44719
23385,85129
23386,48351
23387,70045
23388,40707
23389,61760
23390,68821
23391,40000
23392,40000
23393,67321
23394,52340
23395,43321
23396,55806
23397,96419
23398,69439
23399,40000
23400,60857
23401,40000
23402,40000
23403,40000
23404,63624
23405,86754
23406,65602
23407,67916
23408,40000
23409,46798
23410,40000
